"recordID","scientificName","taxonConceptID","decimalLatitude","decimalLongitude","eventDate","occurrenceStatus","dataResourceName","multimedia","media_id","videos","sounds","vernacularName","genus","species","subspecies","cl22","cl10923","cl1048","cl966","cl21","firstLoadedDate","basisOfRecord","match","search_term","correct_name","provided_name","common_name","state","lga","shape","list_name","cw_state","shape_feature","creator","license","mimetype","width","height","image_url","download_path"
"13015ada-6c02-4c9b-a022-0ea758523955","Phalacrocorax (Anacarbo) fuscescens","https://biodiversity.org.au/afd/taxa/9abbd117-3bd0-4e07-9a3d-a69dd6eb938a",-34.982962,136.002873,2023-11-14 10:32:00,"PRESENT","iNaturalist Australia","Image","53f128f2-aae3-491f-9dd3-52cfeb10507e",NA,NA,"Black-faced Cormorant","Phalacrocorax","Phalacrocorax fuscescens",NA,"South Australia","THE DC OF LOWER EYRE PENINSULA",NA,"Eyre","Spencer Gulf Shelf Province","2023-11-26 23:19:37.322","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Douglas J. Long","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1842,1156,"https://images.ala.org.au/store/e/7/0/5/53f128f2-aae3-491f-9dd3-52cfeb10507e/original","./cache/species_images/53f128f2-aae3-491f-9dd3-52cfeb10507e.jpg"
"211a1e8f-1171-42dc-b67e-396f68b14dd6","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-36.821693,139.849438,2023-11-18 03:17:00,"PRESENT","iNaturalist Australia","Image","d8f08bf3-041f-4f9c-99e9-e5e4a6aa696c",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,NA,NA,NA,"Coorong","Spencer Gulf Shelf Province","2023-11-26 23:19:36.339","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Deb","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2048,2048,"https://images.ala.org.au/store/c/6/9/6/d8f08bf3-041f-4f9c-99e9-e5e4a6aa696c/original","./cache/species_images/d8f08bf3-041f-4f9c-99e9-e5e4a6aa696c.jpg"
"3cb2b462-a861-492b-a8f0-aca8259650cd","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-32.487863,137.762256,2023-11-10 04:11:00,"PRESENT","iNaturalist Australia","Image","c47f1a35-9c27-4dff-a8a7-2c53e136f04d",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,NA,NA,"Gawler",NA,NA,"2023-11-26 23:19:35.682","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Douglas J. Long","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2048,1472,"https://images.ala.org.au/store/d/4/0/f/c47f1a35-9c27-4dff-a8a7-2c53e136f04d/original","./cache/species_images/c47f1a35-9c27-4dff-a8a7-2c53e136f04d.jpg"
"584c4ca7-9e07-45de-bb8c-d73cfbdcf1d6","Phalacrocorax (Phalacrocorax) carbo","https://biodiversity.org.au/afd/taxa/29472c00-22e3-42c3-b562-107bd28d1bdc",-35.373209,139.142621,2023-11-20 22:19:00,"PRESENT","iNaturalist Australia","Image","39a332a5-0628-40aa-a1bf-3900ddd80652",NA,NA,"Great Cormorant","Phalacrocorax","Phalacrocorax carbo",NA,"South Australia","ALEXANDRINA COUNCIL","Murray Darling Depression",NA,NA,"2023-11-26 23:19:36.339","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"dawnborchardt","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1365,2048,"https://images.ala.org.au/store/2/5/6/0/39a332a5-0628-40aa-a1bf-3900ddd80652/original","./cache/species_images/39a332a5-0628-40aa-a1bf-3900ddd80652.jpg"
"5be3030a-711a-4afc-9067-2c55a2b98767","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-34.745073,138.52679,2023-11-05 20:30:00,"PRESENT","iNaturalist Australia","Image","b008421b-f300-46ac-ab26-4cb87e5a913b",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,NA,"CITY OF SALISBURY",NA,"St Vincent Gulf","Spencer Gulf Shelf Province","2023-11-26 23:19:35.677","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Deb","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1123,1123,"https://images.ala.org.au/store/b/3/1/9/b008421b-f300-46ac-ab26-4cb87e5a913b/original","./cache/species_images/b008421b-f300-46ac-ab26-4cb87e5a913b.jpg"
"93f3f71c-4b43-46bb-ba1a-13e8cf8f60c3","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-32.487887,137.76224,2023-11-09 07:45:00,"PRESENT","iNaturalist Australia","Image","7162b5c9-d88f-4e6d-8ed7-87eceaa7a4a5",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,NA,NA,"Gawler",NA,NA,"2023-11-26 23:19:35.682","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Douglas J. Long","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2048,1400,"https://images.ala.org.au/store/5/a/4/a/7162b5c9-d88f-4e6d-8ed7-87eceaa7a4a5/original","./cache/species_images/7162b5c9-d88f-4e6d-8ed7-87eceaa7a4a5.jpg"
"a61df12d-df32-4318-99ee-aec874f8cbd9","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-33.819979,137.657604,2023-11-08 06:13:00,"PRESENT","iNaturalist Australia","Image","73a2b8f0-4b95-4fba-936c-bc9c172150e0",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,"South Australia","COPPER COAST COUNCIL",NA,"Spencer Gulf","Spencer Gulf Shelf Province","2023-11-26 23:19:35.682","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Douglas J. Long","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2048,1478,"https://images.ala.org.au/store/0/e/0/5/73a2b8f0-4b95-4fba-936c-bc9c172150e0/original","./cache/species_images/73a2b8f0-4b95-4fba-936c-bc9c172150e0.jpg"
"abceaa00-2350-4746-a3fd-10dc4442740e","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-33.813712,137.667919,2023-11-08 06:17:00,"PRESENT","iNaturalist Australia","Image","5641b270-e584-442c-9886-f84c18f109b7",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,NA,"COPPER COAST COUNCIL","Eyre Yorke Block",NA,NA,"2023-11-26 23:19:35.677","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Douglas J. Long","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2048,1626,"https://images.ala.org.au/store/7/b/9/0/5641b270-e584-442c-9886-f84c18f109b7/original","./cache/species_images/5641b270-e584-442c-9886-f84c18f109b7.jpg"
"b2e16742-560f-4279-854d-568baac5afce","Phalacrocorax (Phalacrocorax) carbo","https://biodiversity.org.au/afd/taxa/29472c00-22e3-42c3-b562-107bd28d1bdc",-35.110523,139.263935,2023-11-22 03:25:00,"PRESENT","iNaturalist Australia","Image","2c76c918-ce33-4cbe-b15d-14b654461490",NA,NA,"Great Cormorant","Phalacrocorax","Phalacrocorax carbo",NA,"South Australia","THE RURAL CITY OF MURRAY BRIDGE","Murray Darling Depression",NA,NA,"2023-11-26 23:19:37.322","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"dawnborchardt","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2048,1365,"https://images.ala.org.au/store/0/9/4/1/2c76c918-ce33-4cbe-b15d-14b654461490/original","./cache/species_images/2c76c918-ce33-4cbe-b15d-14b654461490.jpg"
"c10d81cf-b35f-4682-9eb4-ab53f48b4cbe","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-35.093042,139.302391,2023-11-18 23:44:00,"PRESENT","iNaturalist Australia","Image","0a5997e8-60dc-4478-b765-85d41dd6a67f",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,"South Australia","THE RURAL CITY OF MURRAY BRIDGE","Murray Darling Depression",NA,NA,"2023-11-26 23:19:36.936","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Belinda Copland","http://creativecommons.org/licenses/by-nc-nd/4.0/","image/jpeg",940,1410,"https://images.ala.org.au/store/f/7/6/a/0a5997e8-60dc-4478-b765-85d41dd6a67f/original","./cache/species_images/0a5997e8-60dc-4478-b765-85d41dd6a67f.jpg"
"cf346e29-e733-4c9d-ac4b-f81d2bda586d","Phalacrocorax (Phalacrocorax) carbo novaehollandiae","https://biodiversity.org.au/afd/taxa/fedb1dfe-37ad-4bd7-aa97-4509b2ac84be",-35.126963,139.291084,2023-11-18 02:42:00,"PRESENT","iNaturalist Australia","Image","1112f370-f706-43a7-9e47-23984a1a56ff",NA,NA,"Black Cormorant","Phalacrocorax","Phalacrocorax carbo","Phalacrocorax (Phalacrocorax) carbo novaehollandiae","South Australia","THE RURAL CITY OF MURRAY BRIDGE","Murray Darling Depression",NA,NA,"2023-11-26 23:19:36.339","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Belinda Copland","http://creativecommons.org/licenses/by-nc-nd/4.0/","image/jpeg",1278,852,"https://images.ala.org.au/store/f/f/6/5/1112f370-f706-43a7-9e47-23984a1a56ff/original","./cache/species_images/1112f370-f706-43a7-9e47-23984a1a56ff.jpg"
"e7232357-2145-4465-9b34-0c44b549219c","Phalacrocorax (Anacarbo) fuscescens","https://biodiversity.org.au/afd/taxa/9abbd117-3bd0-4e07-9a3d-a69dd6eb938a",-34.97584,136.003007,2023-11-14 10:31:00,"PRESENT","iNaturalist Australia","Image","cb0e87ea-a44e-4f00-b2f9-ba135a965b9d",NA,NA,"Black-faced Cormorant","Phalacrocorax","Phalacrocorax fuscescens",NA,NA,"THE DC OF LOWER EYRE PENINSULA",NA,"Eyre","Spencer Gulf Shelf Province","2023-11-26 23:19:36.936","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Douglas J. Long","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",2045,1629,"https://images.ala.org.au/store/d/9/b/5/cb0e87ea-a44e-4f00-b2f9-ba135a965b9d/original","./cache/species_images/cb0e87ea-a44e-4f00-b2f9-ba135a965b9d.jpg"
"f07465de-b7b2-44f0-b99c-276b54ec9884","Phalacrocorax (Phalacrocorax) varius","https://biodiversity.org.au/afd/taxa/55994a9e-8ba7-4ff9-89a2-e22586ab25d1",-34.169774,139.977668,2023-11-07 23:39:00,"PRESENT","iNaturalist Australia","Image","4c47ab7e-44d8-4fe1-9eb3-7ffc47e22671",NA,NA,"Black-and-white Shag","Phalacrocorax","Phalacrocorax varius",NA,"South Australia","THE DC OF LOXTON WAIKERIE","Riverina",NA,NA,"2023-11-26 23:19:35.677","HUMAN_OBSERVATION","genus","Phalacrocorax","Phalacrocorax","Phalacrocorax","Cormorants","SA",NA,NA,"testlist","SA",NA,"Matt Campbell","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1260,732,"https://images.ala.org.au/store/1/7/6/2/4c47ab7e-44d8-4fe1-9eb3-7ffc47e22671/original","./cache/species_images/4c47ab7e-44d8-4fe1-9eb3-7ffc47e22671.jpg"
"27505a72-8209-4ef5-9ae1-038028d2072c","Phylidonyris (Meliornis) novaehollandiae","https://biodiversity.org.au/afd/taxa/da002998-b551-4328-ac4e-5e04fc72708b",-35.156898,138.49388,2023-11-10 03:54:00,"PRESENT","iNaturalist Australia","Image","85cef67e-b3b3-406e-96dd-a6cdae1c4849",NA,NA,"New Holland Honeyeater","Phylidonyris","Phylidonyris novaehollandiae",NA,"South Australia","CITY OF ONKAPARINGA","Flinders Lofty Block",NA,NA,"2023-11-26 23:19:35.682","HUMAN_OBSERVATION","species","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","New Holland Honeyeater",NA,"CITY OF MARION, CITY OF ONKAPARINGA, CITY OF HOLDFAST BAY",NA,"lgalist","SA",NA,"Geoffrey Cox","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1547,1029,"https://images.ala.org.au/store/9/4/8/4/85cef67e-b3b3-406e-96dd-a6cdae1c4849/original","./cache/species_images/85cef67e-b3b3-406e-96dd-a6cdae1c4849.jpg"
"2e193192-d4b9-4c83-8d39-4a5f880f4c04","Platycercus (Platycercus) elegans","https://biodiversity.org.au/afd/taxa/5e0f496f-5045-41ff-8c03-f3c8fd4f8ccd",-35.070271,138.606774,2023-11-21 00:06:00,"PRESENT","iNaturalist Australia","Image","26d665b9-e818-4978-a015-45439f9aba9e",NA,NA,"Crimson Rosella","Platycercus","Platycercus elegans",NA,"South Australia","CITY OF ONKAPARINGA","Flinders Lofty Block",NA,NA,"2023-11-26 23:19:35.677","HUMAN_OBSERVATION","species","Platycercus elegans","Platycercus (Platycercus) elegans","Platycercus (Platycercus) elegans","Crimson Rosella",NA,"CITY OF MARION, CITY OF ONKAPARINGA",NA,"lgalist","SA",NA,"econiko","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1841,1159,"https://images.ala.org.au/store/e/9/a/b/26d665b9-e818-4978-a015-45439f9aba9e/original","./cache/species_images/26d665b9-e818-4978-a015-45439f9aba9e.jpg"
"349ad44c-15fc-4134-8367-fdb39f66f813","Ardenna tenuirostris","https://biodiversity.org.au/afd/taxa/5c89ae04-dd10-4ad9-bbb6-5ab1557ff21d",-38.829597,146.117759,2023-11-24 23:32:24,"PRESENT","iNaturalist Australia","Image","00500788-b3e0-47e5-ac39-0e443203484c",NA,NA,"Short-tailed Shearwater","Ardenna","Ardenna tenuirostris",NA,NA,NA,NA,"Flinders","Southeast Shelf Transition","2023-11-26 23:19:35.682","HUMAN_OBSERVATION","species","Ardenna tenuirostris","Ardenna tenuirostris","Ardenna tenuirostris","Short-Tailed Shearwater","AUS",NA,NA,"testlist","VIC",NA,"Rangerfi","http://creativecommons.org/licenses/by-nc/4.0/","image/jpeg",1536,2048,"https://images.ala.org.au/store/c/4/8/4/00500788-b3e0-47e5-ac39-0e443203484c/original","./cache/species_images/00500788-b3e0-47e5-ac39-0e443203484c.jpg"
