recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,multimedia,media_id,videos,sounds,vernacularName,genus,species,subspecies,cl22,cl10923,cl1048,cl966,cl21,firstLoadedDate,basisOfRecord,match,search_term,correct_name,provided_name,common_name,state,lga,shape,list_name,cw_state,shape_feature,creator,license,mimetype,width,height,image_url,download_path
0ee40905-fcd2-4859-b17c-e9e4f1d7a12e,Alisterus scapularis,https://biodiversity.org.au/afd/taxa/55213c39-1809-442e-b5fb-03fb99e8d97a,-34.547729,150.38164,2023-11-18T22:59:20.000Z,PRESENT,iNaturalist Australia,Image,a4ff6304-1ee2-4f68-870d-a29118f74dcc,NA,NA,Australian King-parrot,Alisterus,Alisterus scapularis,NA,New South Wales,WINGECARRIBEE SHIRE COUNCIL,Sydney Basin,NA,NA,2023-11-19 23:19:29.735,HUMAN_OBSERVATION,species,Alisterus scapularis,Alisterus scapularis,Alisterus scapularis,Australian King Parrot,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist,NSW,NA,michelben,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/store/c/c/d/4/a4ff6304-1ee2-4f68-870d-a29118f74dcc/original,./cache/species_images/a4ff6304-1ee2-4f68-870d-a29118f74dcc.jpg
1c91b7c9-60d3-4005-8e6d-b2be0b7ae96e,Onychoprion fuscatus,https://biodiversity.org.au/afd/taxa/13a31834-0f30-4a9c-a68f-a22dd3d3158b,-14.507684,147.773658,2023-11-11T02:55:00.000Z,PRESENT,iNaturalist Australia,NA,NA,NA,NA,Sooty Tern,Onychoprion,Onychoprion fuscatus,NA,NA,NA,NA,NA,Northeast Transition,2023-11-19 23:19:28.975,HUMAN_OBSERVATION,species,Onychoprion fuscatus,Onychoprion fuscatus,"Onychoprion fuscatus (Linnaeus, 1766)",Sooty Tern,AUS,NA,NA,testlist,NA,NA,NA,NA,NA,NA,NA,NA,NA
29296709-d6d9-41b9-9419-6ceab2aeb0b3,Ardenna tenuirostris,https://biodiversity.org.au/afd/taxa/5c89ae04-dd10-4ad9-bbb6-5ab1557ff21d,-35.277087,150.493897,2023-11-18T00:23:11.000Z,PRESENT,iNaturalist Australia,Image,e7763599-0e23-4c38-b93e-ab312bd99c92,NA,NA,Short-tailed Shearwater,Ardenna,Ardenna tenuirostris,NA,New South Wales,SHOALHAVEN CITY COUNCIL,NA,Batemans Shelf,Southeast Shelf Transition,2023-11-19 23:19:28.975,HUMAN_OBSERVATION,species,Ardenna tenuirostris,Ardenna tenuirostris,Ardenna tenuirostris,Short-Tailed Shearwater,AUS,NA,NA,testlist,NSW,NA,currowar,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/store/2/9/c/9/e7763599-0e23-4c38-b93e-ab312bd99c92/original,./cache/species_images/e7763599-0e23-4c38-b93e-ab312bd99c92.jpg
39e1d1ee-b4f4-4cdc-b516-f6047bd68f42,Ardenna tenuirostris,https://biodiversity.org.au/afd/taxa/5c89ae04-dd10-4ad9-bbb6-5ab1557ff21d,-32.448032,152.540069,2023-11-16T21:50:00.000Z,PRESENT,iNaturalist Australia,Image,a73de880-1a5e-4aa0-98ca-b0e29a334f6b,NA,NA,Short-tailed Shearwater,Ardenna,Ardenna tenuirostris,NA,NA,NA,NA,Manning Shelf,Central Eastern Shelf Province,2023-11-19 23:19:29.418,HUMAN_OBSERVATION,species,Ardenna tenuirostris,Ardenna tenuirostris,Ardenna tenuirostris,Short-Tailed Shearwater,AUS,NA,NA,testlist,NSW,NA,christinerand,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,529,304,https://images.ala.org.au/store/b/6/f/4/a73de880-1a5e-4aa0-98ca-b0e29a334f6b/original,./cache/species_images/a73de880-1a5e-4aa0-98ca-b0e29a334f6b.jpg
3ff256e1-dbe0-4570-9f31-b73aad5263e8,Lathamus discolor,https://biodiversity.org.au/afd/taxa/4cb195fd-b127-44cb-ad85-a62d224e9a96,-43.363945,147.332383,2023-11-15T07:09:06.000Z,PRESENT,iNaturalist Australia,Image,bfe3c56e-7d1f-4f15-954c-9231781cf335,NA,NA,Swift Parrot,Lathamus,Lathamus discolor,NA,Tasmania,KINGBOROUGH COUNCIL,Tasmanian South East,NA,NA,2023-11-19 23:19:29.899,HUMAN_OBSERVATION,species,Lathamus discolor,Lathamus discolor,Lathamus discolor,Swift Parrot,AUS,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist,TAS,NA,donbutch71,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/store/5/3/3/f/bfe3c56e-7d1f-4f15-954c-9231781cf335/original,./cache/species_images/bfe3c56e-7d1f-4f15-954c-9231781cf335.jpg
48ff9a2e-bd80-423c-9b9b-9db700a22edb,Platycercus (Platycercus) elegans,https://biodiversity.org.au/afd/taxa/5e0f496f-5045-41ff-8c03-f3c8fd4f8ccd,-35.0451,138.683043,2023-11-18T01:21:00.000Z,PRESENT,iNaturalist Australia,Image,b7beba30-3a35-43cf-b341-d7ffd39ddb95,NA,NA,Crimson Rosella,Platycercus,Platycercus elegans,NA,South Australia,CITY OF ONKAPARINGA,Flinders Lofty Block,NA,NA,2023-11-19 23:19:28.975,HUMAN_OBSERVATION,species,Platycercus elegans,Platycercus (Platycercus) elegans,Platycercus (Platycercus) elegans,Crimson Rosella,NA,"CITY OF MARION, CITY OF ONKAPARINGA",NA,lgalist,SA,NA,Peter and Shelly,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1365,https://images.ala.org.au/store/5/9/b/d/b7beba30-3a35-43cf-b341-d7ffd39ddb95/original,./cache/species_images/b7beba30-3a35-43cf-b341-d7ffd39ddb95.jpg
4cc942ce-4741-47b7-bf2a-40c9e583b2b6,Ardenna tenuirostris,https://biodiversity.org.au/afd/taxa/5c89ae04-dd10-4ad9-bbb6-5ab1557ff21d,-38.288399,144.488089,2023-11-12T03:39:00.000Z,PRESENT,iNaturalist Australia,Image,608d344d-13cc-4a62-8695-84316e9f06ee,NA,NA,Short-tailed Shearwater,Ardenna,Ardenna tenuirostris,NA,Victoria,GREATER GEELONG CITY,South East Coastal Plain,NA,NA,2023-11-19 23:19:29.735,HUMAN_OBSERVATION,species,Ardenna tenuirostris,Ardenna tenuirostris,Ardenna tenuirostris,Short-Tailed Shearwater,AUS,NA,NA,testlist,VIC,NA,seathemes,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1536,https://images.ala.org.au/store/e/e/6/0/608d344d-13cc-4a62-8695-84316e9f06ee/original,./cache/species_images/608d344d-13cc-4a62-8695-84316e9f06ee.jpg
4d17db0b-cd03-487d-ace2-3830a8d7c87f,Charadrius (Charadrius) mongolus mongolus,https://biodiversity.org.au/afd/taxa/bc2f1f65-2844-4e3c-a07e-b60717967b78,-14.5,132.2,2023-11-16T17:37:00.000Z,PRESENT,Earth Guardians Weekly Feed,Image,05dbaa7a-e702-4f0d-9336-7bfa65d57d45,NA,NA,Lesser Sand Plover,Charadrius,Charadrius mongolus,Charadrius (Charadrius) mongolus mongolus,Northern Territory,KATHERINE MUNICIPALITY,Daly Basin,NA,NA,2023-11-21 21:25:54.574,HUMAN_OBSERVATION,species,Charadrius mongolus,Charadrius mongolus,Charadrius (Charadrius) mongolus,Lesser Sand Plover,"NSW, QLD, WA, NT, SA",NA,NA,testlist,NT,NA,NA,NA,image/jpeg,899,600,https://images.ala.org.au/store/5/4/d/7/05dbaa7a-e702-4f0d-9336-7bfa65d57d45/original,./cache/species_images/05dbaa7a-e702-4f0d-9336-7bfa65d57d45.jpg
51b5f254-1fbe-4096-ae0c-2faf3c5e2813,Onychoprion fuscatus,https://biodiversity.org.au/afd/taxa/13a31834-0f30-4a9c-a68f-a22dd3d3158b,-14.895932,147.487432,2023-11-12T22:07:00.000Z,PRESENT,iNaturalist Australia,NA,NA,NA,NA,Sooty Tern,Onychoprion,Onychoprion fuscatus,NA,NA,NA,NA,NA,Northeast Transition,2023-11-19 23:19:29.735,HUMAN_OBSERVATION,species,Onychoprion fuscatus,Onychoprion fuscatus,"Onychoprion fuscatus (Linnaeus, 1766)",Sooty Tern,AUS,NA,NA,testlist,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c63879-d749-4521-bcf6-afb82dc6af01,Thalasseus bergii,https://biodiversity.org.au/afd/taxa/1441c509-faf3-405e-a534-c51cccc4d720,-38.517947,145.117142,2023-11-17T03:44:26.000Z,PRESENT,iNaturalist Australia,Image,0f11a597-74a6-446f-9116-e391a863f301,NA,NA,Crested Tern,Thalasseus,Thalasseus bergii,NA,Victoria,BASS COAST SHIRE,South East Coastal Plain,NA,NA,2023-11-19 23:19:29.899,HUMAN_OBSERVATION,species,Thalasseus bergii,Thalasseus bergii,"Thalasseus bergii (Lichtenstein, 1823)",Crested Tern,"TAS, VIC",NA,NA,testlist,VIC,NA,Angel Ric,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/store/1/0/3/f/0f11a597-74a6-446f-9116-e391a863f301/original,./cache/species_images/0f11a597-74a6-446f-9116-e391a863f301.jpg
