correct_name,provided_name,search_term,common_name,state,lga,shape,list_name
Eolophus roseicapilla,Eolophus roseicapilla,Eolophus roseicapilla,Galah,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Eolophus roseicapilla,Eolophus roseicapilla,Cacatua roseicapilla,Galah,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Platycercus (Platycercus) elegans,Platycercus (Platycercus) elegans,Platycercus (Platycercus) elegans,Crimson Rosella,NA,"CITY OF MARION, CITY OF ONKAPARINGA",NA,lgalist
Platycercus (Platycercus) elegans,Platycercus (Platycercus) elegans,Platycercus elegans,Crimson Rosella,NA,"CITY OF MARION, CITY OF ONKAPARINGA",NA,lgalist
Cacatua (Cacatua) galerita,Cacatua (Cacatua) galerita,Cacatua (Cacatua) galerita,Sulphur-Crested Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Cacatua (Cacatua) galerita,Cacatua (Cacatua) galerita,Cacatua galerita,Sulphur-Crested Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Alisterus scapularis,Alisterus scapularis,Alisterus scapularis,Australian King Parrot,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Todiramphus (Todiramphus) sanctus,Todiramphus (Todiramphus) sanctus,Todiramphus (Todiramphus) sanctus,Sacred Kingfisher,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Todiramphus (Todiramphus) sanctus,Todiramphus (Todiramphus) sanctus,Todiramphus sanctus,Sacred Kingfisher,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,Ptilonorhynchus violaceus,Satin Bowerbird,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Aviceda (Aviceda) subcristata,Aviceda (Aviceda) subcristata,Aviceda (Aviceda) subcristata,Pacific Baza,NA,BRISBANE CITY,NA,lgalist
Aviceda (Aviceda) subcristata,Aviceda (Aviceda) subcristata,Aviceda subcristata,Pacific Baza,NA,BRISBANE CITY,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Callocephalon fimbriatum,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Psittacus phoenicocephalus,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Callocephalon australe,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Kakadoe rubrogaleata,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Callocorydon fimbriatus superior,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Callocephalon galeatum tasmanicum,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Psittacus galeatus,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Callocephalon fimbriatum,Callocephalon fimbriatum,Psittacus fimbriatus,Gang-Gang Cockatoo,NA,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Parvipsitta pusilla,Parvipsitta pusilla,Parvipsitta pusilla,Little Lorikeet,NSW,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Parvipsitta pusilla,Parvipsitta pusilla,Psittacus pusillus,Little Lorikeet,NSW,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Parvipsitta pusilla,Parvipsitta pusilla,Glossopsitta pusilla,Little Lorikeet,NSW,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Parvipsitta pusilla,Parvipsitta pusilla,Psittacus nuchalis,Little Lorikeet,NSW,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Parvipsitta pusilla,Parvipsitta pusilla,Glossopsitta pusilla ashbyi,Little Lorikeet,NSW,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Lathamus discolor,Lathamus discolor,Lathamus discolor,Swift Parrot,AUS,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Lathamus discolor,Lathamus discolor,Psittacus australis,Swift Parrot,AUS,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Lathamus discolor,Lathamus discolor,Psittacus lathami,Swift Parrot,AUS,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Lathamus discolor,Lathamus discolor,Psittacus sanguinolentus,Swift Parrot,AUS,WINGECARRIBEE SHIRE COUNCIL,NA,lgalist
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,New Holland Honeyeater,NA,"CITY OF MARION, CITY OF ONKAPARINGA, CITY OF HOLDFAST BAY",NA,lgalist
Elseyornis melanops,Elseyornis melanops,Elseyornis melanops,Black-Fronted Dotterel,NA,NA,metro_region,shplist1
Elseyornis melanops,Elseyornis melanops,Charadrius nigrifrons,Black-Fronted Dotterel,NA,NA,metro_region,shplist1
Elseyornis melanops,Elseyornis melanops,Charadrius melanops,Black-Fronted Dotterel,NA,NA,metro_region,shplist1
Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,Purple-Crowned Lorikeet,NA,NA,metro_region,shplist1
Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,Glossopsitta porphyrocephala,Purple-Crowned Lorikeet,NA,NA,metro_region,shplist1
Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,Trichoglossus porphyrocephalus,Purple-Crowned Lorikeet,NA,NA,metro_region,shplist1
Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,Psittacus purpureus,Purple-Crowned Lorikeet,NA,NA,metro_region,shplist1
Parvipsitta porphyrocephala,Parvipsitta porphyrocephala,Psittacula florentis,Purple-Crowned Lorikeet,NA,NA,metro_region,shplist1
Zanda funerea,Zanda funerea,Zanda funerea,Yellow-Tailed Black-Cockatoo,NA,NA,QLD_Protected_areas,shplist1
Zanda funerea,Zanda funerea,Calyptorhynchus funereus,Yellow-Tailed Black-Cockatoo,NA,NA,QLD_Protected_areas,shplist1
Chlamydera maculata,Chlamydera maculata,Chlamydera maculata,Spotted Bowerbird,NA,NA,QLD_Protected_areas,shplist1
Chlamydera maculata,Chlamydera maculata,Ptilonorhynchus maculata,Spotted Bowerbird,NA,NA,QLD_Protected_areas,shplist1
Chlamydera maculata,Chlamydera maculata,Chlamydodera occipitalis,Spotted Bowerbird,NA,NA,QLD_Protected_areas,shplist1
Todiramphus (Lazulena) macleayii,Todiramphus (Lazulena) macleayii,Todiramphus (Lazulena) macleayii,Forest Kingfisher,NA,NA,Bris_Ward_boundaries,shplist1
Ceyx azureus,Ceyx azureus,Ceyx azureus,Azure Kingfisher,NA,NA,Bris_Ward_boundaries,shplist1
Onychoprion fuscatus,"Onychoprion fuscatus (Linnaeus, 1766)",Onychoprion fuscatus,Sooty Tern,AUS,NA,NA,testlist
Onychoprion fuscatus,"Onychoprion fuscatus (Linnaeus, 1766)",Sterna fuscata,Sooty Tern,AUS,NA,NA,testlist
Oceanites oceanicus,Oceanites oceanicus,Oceanites oceanicus,Wilson's Storm Petrel,AUS,NA,NA,testlist
Urodynamis taitensis,Urodynamis taitensis,Urodynamis taitensis,Long-Tailed Koel,"NSW, QLD",NA,NA,testlist
Urodynamis taitensis,Urodynamis taitensis,Cuculus taitensis,Long-Tailed Koel,"NSW, QLD",NA,NA,testlist
Thalasseus bengalensis,Thalasseus bengalensis,Thalasseus bengalensis,Lesser Crested Tern,"WA, NSW, SA, VIC, TAS, ACT",NA,NA,testlist
Thalasseus bengalensis,Thalasseus bengalensis,Sterna bengalensis,Lesser Crested Tern,"WA, NSW, SA, VIC, TAS, ACT",NA,NA,testlist
Thalasseus bengalensis,Thalasseus bengalensis,Sterna media,Lesser Crested Tern,"WA, NSW, SA, VIC, TAS, ACT",NA,NA,testlist
Thalasseus bergii,"Thalasseus bergii (Lichtenstein, 1823)",Thalasseus bergii,Crested Tern,"TAS, VIC",NA,NA,testlist
Thalasseus bergii,"Thalasseus bergii (Lichtenstein, 1823)",Sterna bergii,Crested Tern,"TAS, VIC",NA,NA,testlist
Fregata minor,Fregata minor,Fregata minor,Great Frigatebird,QLD,NA,NA,testlist
Charadrius mongolus,Charadrius (Charadrius) mongolus,Charadrius mongolus,Lesser Sand Plover,"NSW, QLD, WA, NT, SA",NA,NA,testlist
Charadrius mongolus,Charadrius (Charadrius) mongolus,Charadrius (Charadrius) mongolus,Lesser Sand Plover,"NSW, QLD, WA, NT, SA",NA,NA,testlist
Fregata andrewsi,"Fregata andrewsi Mathews, 1914",Fregata andrewsi,Christmas Frigatebird,WA,NA,NA,testlist
Ardenna tenuirostris,Ardenna tenuirostris,Ardenna tenuirostris,Short-Tailed Shearwater,AUS,NA,NA,testlist
Ardenna tenuirostris,Ardenna tenuirostris,Puffinus intermedius,Short-Tailed Shearwater,AUS,NA,NA,testlist
Ardenna tenuirostris,Ardenna tenuirostris,Procellaria tenuirostris,Short-Tailed Shearwater,AUS,NA,NA,testlist
Ardenna tenuirostris,Ardenna tenuirostris,Neonectris tenuirostris grantianus,Short-Tailed Shearwater,AUS,NA,NA,testlist
Fregata ariel,Fregata ariel,Fregata ariel,Lesser Frigatebird,QLD,NA,NA,testlist
Thalassarche cauta,Thalassarche cauta,Thalassarche cauta,Shy Albatross,"VIC, NSW, WA",NA,NA,testlist
Thalassarche cauta,Thalassarche cauta,Diomedea cauta,Shy Albatross,"VIC, NSW, WA",NA,NA,testlist
Phalacrocorax,Phalacrocorax,Phalacrocorax,Cormorants,SA,NA,NA,testlist
Phalacrocorax sulcirostris,!Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,Little Black Cormorant,SA,NA,NA,testlist
Phalacrocorax sulcirostris,!Phalacrocorax sulcirostris,Carbo sulcirostris,Little Black Cormorant,SA,NA,NA,testlist
Phalacrocorax sulcirostris,!Phalacrocorax sulcirostris,Microcarbo stictocephalus,Little Black Cormorant,SA,NA,NA,testlist
Phalacrocorax sulcirostris,!Phalacrocorax sulcirostris,Mesocarbo ater territori,Little Black Cormorant,SA,NA,NA,testlist
Phalacrocorax sulcirostris,!Phalacrocorax sulcirostris,Carbo squamatus,Little Black Cormorant,SA,NA,NA,testlist
